communal ARCC MESA version loaded
/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25
    fs.writeFileSync(fname, JSON.stringify(mat));
                                 ^

RangeError: Invalid string length
    at JSON.stringify (<anonymous>)
    at Object.<anonymous> (/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25:34)
    at Module._compile (node:internal/modules/cjs/loader:1730:14)
    at Object..js (node:internal/modules/cjs/loader:1895:10)
    at Module.load (node:internal/modules/cjs/loader:1465:32)
    at Function._load (node:internal/modules/cjs/loader:1282:12)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:235:24)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:170:5)
    at node:internal/main/run_main_module:36:49

Node.js v22.15.0
Running Held-Karp experiment...
LS: n=2701, time=4179ms, length=98306
LS: n=2726, time=4474ms, length=99911
LS: n=2751, time=4420ms, length=100177
LS: n=2776, time=4457ms, length=103111
LS: n=2801, time=4661ms, length=106136
LS: n=2826, time=4539ms, length=106112
LS: n=2851, time=4988ms, length=106016
LS: n=2876, time=4984ms, length=103511
LS: n=2901, time=5098ms, length=107984
LS: n=2926, time=5478ms, length=109001
LS: n=2951, time=5258ms, length=110673
LS: n=2976, time=5557ms, length=109662
LS: n=3001, time=5572ms, length=113994
LS: n=3051, time=5882ms, length=113874
LS: n=3101, time=6027ms, length=116624
LS: n=3151, time=6370ms, length=118873
LS: n=3201, time=6486ms, length=121095
LS: n=3251, time=6610ms, length=122090
LS: n=3301, time=7255ms, length=125603
LS: n=3351, time=7444ms, length=126130
LS: n=3401, time=7708ms, length=125737
LS: n=3451, time=8017ms, length=129369
LS: n=3501, time=8344ms, length=134562
LS: n=3551, time=8504ms, length=134305
LS: n=3601, time=8989ms, length=134035
LS: n=3651, time=9022ms, length=140196
LS: n=3701, time=9586ms, length=141988
LS: n=3751, time=9361ms, length=141625
LS: n=3801, time=10357ms, length=147061
LS: n=3851, time=10361ms, length=148019
LS: n=3901, time=10992ms, length=147983
LS: n=3951, time=11313ms, length=151262
LS: n=4001, time=11856ms, length=153867
LS: n=4051, time=11751ms, length=157189
LS: n=4101, time=12725ms, length=159168
LS: n=4151, time=12938ms, length=160913
LS: n=4201, time=13743ms, length=161052
LS: n=4251, time=13304ms, length=163899
LS: n=4301, time=14591ms, length=165542
LS: n=4351, time=14076ms, length=169382
LS: n=4401, time=15292ms, length=168638
LS: n=4451, time=14509ms, length=173851
LS: n=4501, time=16111ms, length=175098
LS: n=4551, time=16055ms, length=175958
LS: n=4601, time=17559ms, length=176580
LS: n=4651, time=17069ms, length=182906
LS: n=4701, time=18795ms, length=180675
LS: n=4751, time=18310ms, length=186868
LS: n=4801, time=19997ms, length=188790
LS: n=4851, time=19743ms, length=188724
LS: n=4901, time=20310ms, length=189036
LS: n=4951, time=20633ms, length=194109
LS: n=5001, time=21734ms, length=195885
LS: n=5051, time=21652ms, length=197115
LS: n=5101, time=22437ms, length=201433
LS: n=5151, time=22623ms, length=199047
LS: n=5201, time=23450ms, length=201876
LS: n=5251, time=23758ms, length=206646
LS: n=5301, time=24599ms, length=212151
LS: n=5351, time=25960ms, length=211304
LS: n=5401, time=26903ms, length=212620
LS: n=5451, time=26582ms, length=218029
LS: n=5501, time=28085ms, length=216859
LS: n=5551, time=27991ms, length=221402
LS: n=5601, time=29496ms, length=223285
LS: n=5651, time=29590ms, length=226243
LS: n=5701, time=30751ms, length=226116
LS: n=5751, time=31274ms, length=227725
LS: n=5801, time=31762ms, length=230000
LS: n=5851, time=32203ms, length=229614
LS: n=5901, time=33207ms, length=234074
LS: n=5951, time=33822ms, length=237475
LS: n=6001, time=34612ms, length=236727
LS: n=6101, time=35407ms, length=243890
LS: n=6201, time=37135ms, length=248513
LS: n=6301, time=38920ms, length=252200
LS: n=6401, time=40328ms, length=254287
LS: n=6501, time=44287ms, length=257421
LS: n=6601, time=44723ms, length=266368
LS: n=6701, time=45885ms, length=267492
LS: n=6801, time=48487ms, length=271586
LS: n=6901, time=49658ms, length=276736
LS: n=7001, time=52239ms, length=281164
LS: n=7101, time=53459ms, length=287247
LS: n=7201, time=55429ms, length=291997
LS: n=7301, time=57915ms, length=296362
LS: n=7401, time=60332ms, length=300621
LS: n=7501, time=62113ms, length=302331
LS: n=7601, time=64856ms, length=306399
LS: n=7701, time=66134ms, length=309492
LS: n=7801, time=68127ms, length=319111
LS: n=7901, time=71601ms, length=319643
LS: n=8001, time=74957ms, length=324919
LS: n=8101, time=80879ms, length=325809
LS: n=8201, time=78180ms, length=333110
LS: n=8301, time=82420ms, length=336644
LS: n=8401, time=83124ms, length=338561
LS: n=8501, time=87147ms, length=345151
LS: n=8601, time=88544ms, length=350138
LS: n=8701, time=91101ms, length=359271
LS: n=8801, time=92695ms, length=356861
LS: n=8901, time=95986ms, length=364321
LS: n=9001, time=98297ms, length=369084
LS: n=9101, time=100637ms, length=373689
LS: n=9201, time=103131ms, length=379151
LS: n=9301, time=106172ms, length=380166
LS: n=9401, time=108438ms, length=383355
LS: n=9501, time=111086ms, length=388526
LS: n=9601, time=113486ms, length=396237
LS: n=9701, time=118584ms, length=400452
LS: n=9801, time=119585ms, length=399933
LS: n=9901, time=121777ms, length=407938
LS: n=10001, time=124297ms, length=413014
LS: n=10101, time=132034ms, length=416801
LS: n=10201, time=131548ms, length=422335
LS: n=10301, time=136891ms, length=424301
LS: n=10401, time=137876ms, length=428515
LS: n=10501, time=144544ms, length=436361
LS: n=10601, time=145408ms, length=438408
LS: n=10701, time=160615ms, length=442526
LS: n=10801, time=172770ms, length=443505
LS: n=10901, time=169137ms, length=450386
LS: n=11001, time=187072ms, length=459520
LS: n=11101, time=190691ms, length=463673
LS: n=11201, time=195091ms, length=469898
LS: n=11301, time=202429ms, length=470607
LS: n=11401, time=209144ms, length=471575
LS: n=11501, time=215222ms, length=474729
LS: n=11601, time=221862ms, length=487133
